Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	sample_id	group	workflow
HMP_sample_2_bin.5	99.93	0.4	Neural Network (Specific Model)	11	0.849	108451	304.59270915289795	4095977	0.35	3813	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.6	100.0	1.42	Neural Network (Specific Model)	11	0.882	3592123	325.39452644526443	3592123	0.48	3252	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.7	99.99	1.85	Neural Network (Specific Model)	11	0.887	5188948	363.7679924242424	5188948	0.43	4224	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.8	82.4	2.22	Neural Network (Specific Model)	11	0.852	5611	271.0959370904325	3633644	0.61	3815	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_2_bin.9	82.51	2.21	Neural Network (Specific Model)	11	0.917	5973	294.0676328502415	2585032	0.4	2691	None	HMP_sample_2	HMP	MetaWRAP
HMP_sample_3_bin.1	100.0	1.96	Neural Network (Specific Model)	11	0.848	4341942	287.43982742960947	4468264	0.43	4404	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.10	99.91	0.51	Neural Network (Specific Model)	11	0.85	4586734	307.8174940898345	4586734	0.36	4230	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.11	75.6	5.28	Neural Network (Specific Model)	11	0.882	29191	297.50856055802154	1592486	0.42	1577	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.12	99.29	0.55	Neural Network (Specific Model)	11	0.881	1274063	309.7182103610675	1340756	0.35	1274	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.13	98.04	3.25	Neural Network (Specific Model)	11	0.854	33543	316.1733074182053	3421416	0.39	3087	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.14	100.0	2.14	Neural Network (Specific Model)	11	0.897	5532456	333.38910969793324	5603117	0.66	5032	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.15	99.97	0.28	Neural Network (Specific Model)	11	0.861	1949862	294.37112860892387	1949862	0.52	1905	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.16	98.76	2.98	Neural Network (Specific Model)	11	0.89	35402	302.8575275397797	4162619	0.48	4085	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.17	67.92	3.86	Neural Network (Specific Model)	11	0.87	9013	332.4508094645081	1838241	0.67	1606	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.19	62.91	3.07	Neural Network (Specific Model)	11	0.863	29496	294.7673630717109	1811898	0.29	1771	Low confidence prediction - substantial (28%) disagreement between completeness prediction models	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.2	100.0	0.0	Neural Network (Specific Model)	11	0.879	1914479	305.9389978213508	1914479	0.38	1836	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.20	72.2	1.59	Neural Network (Specific Model)	11	0.867	5501	307.25741324921137	1682742	0.37	1585	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.21	83.81	2.03	Neural Network (Specific Model)	11	0.908	7301	268.48021828103685	3241890	0.63	3665	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.22	99.87	0.85	Neural Network (Specific Model)	11	0.882	34793	307.9433465085639	2380531	0.52	2277	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.23	99.96	1.05	Neural Network (Specific Model)	11	0.895	1967074	350.73671641791043	1967074	0.64	1675	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.24	100.0	0.63	Neural Network (Specific Model)	11	0.826	2486583	299.4788346613546	4362159	0.3	4016	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.25	98.86	1.22	Neural Network (Specific Model)	11	0.914	29840	308.9868421052632	1692514	0.36	1672	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.26	100.0	1.42	Neural Network (Specific Model)	11	0.882	3592092	325.33876421764523	3592092	0.48	3253	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.27	58.7	1.34	Neural Network (Specific Model)	11	0.896	8685	330.0683326825459	2825597	0.44	2561	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.28	86.06	0.59	Neural Network (Specific Model)	11	0.852	93217	339.7928240740741	2063477	0.63	1728	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.3	100.0	0.08	Neural Network (Specific Model)	11	0.889	6453532	347.911353315168	6453532	0.64	5505	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.4	100.0	2.35	Neural Network (Specific Model)	11	0.915	5339166	324.72488132911394	5375186	0.68	5056	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.5	99.96	1.99	Neural Network (Specific Model)	11	0.854	39370	296.52184980907936	2453567	0.39	2357	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.6	88.6	0.03	Neural Network (Specific Model)	11	0.899	679386	360.3052597612133	3718552	0.45	3099	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.7	100.0	0.46	Neural Network (Specific Model)	11	0.851	2807504	330.9531314807134	2807504	0.64	2411	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.8	99.97	0.01	Neural Network (Specific Model)	11	0.824	1796399	353.5630831643002	3168264	0.41	2465	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_3_bin.9	99.91	0.33	Neural Network (Specific Model)	11	0.878	4242798	337.24009766684753	4242798	0.47	3686	None	HMP_sample_3	HMP	MetaWRAP
HMP_sample_4_bin.1	91.93	0.27	Neural Network (Specific Model)	11	0.909	18443	346.7505658669081	2525188	0.58	2209	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.10	91.44	1.92	Neural Network (Specific Model)	11	0.877	10309	307.445778997941	3061093	0.65	2914	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.11	99.99	0.43	Neural Network (Specific Model)	11	0.851	3561600	329.8540241120886	3561600	0.39	3069	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.12	99.95	0.15	Neural Network (Specific Model)	11	0.865	352778	329.94822627037394	2382435	0.59	2086	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.13	100.0	2.47	Neural Network (Specific Model)	11	0.88	4662862	323.2224581269167	4662862	0.45	4239	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.14	99.99	0.2	Neural Network (Specific Model)	11	0.898	1492530	324.78677621283254	2770705	0.38	2556	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.15	83.06	2.97	Neural Network (Specific Model)	11	0.863	18687	283.760092272203	2562075	0.37	2601	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.16	95.81	2.09	Neural Network (Specific Model)	11	0.858	15782	280.81631578947366	1862663	0.5	1900	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.17	76.67	0.72	Neural Network (Specific Model)	11	0.897	7227	281.3618899273105	1808674	0.38	1926	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.18	99.98	0.23	Neural Network (Specific Model)	11	0.866	2033689	358.8680926916221	2089624	0.59	1683	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.19	94.25	2.53	Neural Network (Specific Model)	11	0.876	17601	298.7174409748667	2682040	0.43	2626	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.2	71.96	1.33	Neural Network (Specific Model)	11	0.909	19290	298.0098064516129	3803991	0.69	3875	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.20	100.0	1.61	Neural Network (Specific Model)	11	0.84	3824892	316.4319512195122	4627890	0.29	4100	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.21	78.1	0.84	Neural Network (Specific Model)	11	0.886	19305	300.1357677902621	1083806	0.35	1068	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.22	100.0	0.58	Neural Network (Specific Model)	11	0.88	988112	327.452807646356	3730142	0.58	3348	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.23	99.99	0.76	Neural Network (Specific Model)	11	0.863	2195942	318.38553022794844	2229529	0.44	2018	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.24	86.36	1.29	Neural Network (Specific Model)	11	0.886	19431	302.22535211267603	3335806	0.48	3266	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.25	100.0	0.27	Neural Network (Specific Model)	11	0.883	2745272	353.1820165866434	2745272	0.56	2291	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.26	99.99	0.35	Neural Network (Specific Model)	11	0.854	3158342	355.46090047393363	3158342	0.65	2532	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.27	58.84	1.3	Neural Network (Specific Model)	11	0.848	16259	312.3923692887424	2343438	0.37	2123	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.28	99.85	0.13	Neural Network (Specific Model)	11	0.853	2186875	347.86487995533224	2186875	0.63	1791	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.29	100.0	0.25	Neural Network (Specific Model)	11	0.882	2664094	357.4006381039198	2664094	0.56	2194	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.3	99.98	0.18	Neural Network (Specific Model)	11	0.882	5599727	331.7854699134635	5599727	0.59	4969	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.4	85.73	2.65	Neural Network (Specific Model)	11	0.894	20227	336.1591500433651	2599309	0.59	2306	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.5	100.0	0.64	Neural Network (Specific Model)	11	0.875	905459	335.0003853564548	2974365	0.42	2595	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.6	100.0	0.41	Neural Network (Specific Model)	11	0.899	5287943	312.7319668900276	5287943	0.65	5074	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.7	99.92	0.14	Neural Network (Specific Model)	11	0.86	937260	327.0718382130999	3773043	0.63	3313	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.8	99.99	0.02	Neural Network (Specific Model)	11	0.89	1809735	360.61419959812457	1809735	0.44	1493	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_4_bin.9	99.99	1.33	Neural Network (Specific Model)	11	0.902	1562434	316.143193871538	1780148	0.36	1697	None	HMP_sample_4	HMP	MetaWRAP
HMP_sample_5_bin.1	99.99	0.24	Neural Network (Specific Model)	11	0.876	189836	332.1519059902551	3963890	0.37	3489	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.10	100.0	0.27	Neural Network (Specific Model)	11	0.904	4887377	314.29484448231784	4887377	0.68	4694	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.11	100.0	0.61	Neural Network (Specific Model)	11	0.826	4351889	300.07625	4351889	0.3	4000	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.12	99.96	1.96	Neural Network (Specific Model)	11	0.836	139815	313.0645276292335	3147428	0.28	2805	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.13	100.0	0.05	Neural Network (Specific Model)	11	0.915	168414	329.959837437246	4519387	0.67	4183	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.14	99.99	1.85	Neural Network (Specific Model)	11	0.887	5188963	363.7684659090909	5188963	0.43	4224	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.2	100.0	0.41	Neural Network (Specific Model)	11	0.899	5287935	312.8211750788644	5287935	0.65	5072	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.3	99.99	0.32	Neural Network (Specific Model)	11	0.911	2808866	355.0952182952183	2808866	0.37	2405	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.4	100.0	0.78	Neural Network (Specific Model)	11	0.902	5835724	339.29658235180534	5835724	0.66	5179	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.5	100.0	0.64	Neural Network (Specific Model)	11	0.875	905458	335.0092485549133	2974367	0.42	2595	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.6	99.96	0.95	Neural Network (Specific Model)	11	0.893	3149198	322.34316078162493	3149198	0.45	2917	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.7	99.81	1.04	Neural Network (Specific Model)	11	0.864	208642	320.7590096286107	4040399	0.44	3635	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.8	100.0	1.42	Neural Network (Specific Model)	11	0.882	3592119	325.43327183271833	3592119	0.48	3252	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_5_bin.9	100.0	0.27	Neural Network (Specific Model)	11	0.883	2745195	353.1392405063291	2745195	0.56	2291	None	HMP_sample_5	HMP	MetaWRAP
HMP_sample_6_bin.1	100.0	0.73	Neural Network (Specific Model)	11	0.876	1924487	295.50025813113064	1956051	0.39	1937	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.10	100.0	0.04	Neural Network (Specific Model)	11	0.874	2096866	303.89032258064515	2096866	0.41	2015	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.11	99.85	0.22	Neural Network (Specific Model)	11	0.876	37473	291.54046242774564	2069542	0.46	2076	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.12	100.0	0.0	Neural Network (Specific Model)	11	0.879	1914462	305.9351851851852	1914462	0.38	1836	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.13	97.29	1.25	Neural Network (Specific Model)	11	0.852	64550	325.81900452488685	2531489	0.44	2210	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.14	95.22	0.48	Neural Network (Specific Model)	11	0.849	53034	306.4166666666667	1996154	0.42	1848	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.15	99.37	0.19	Neural Network (Specific Model)	11	0.902	48393	335.15803667745416	4127002	0.39	3708	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.16	99.9	0.3	Neural Network (Specific Model)	11	0.897	57505	319.9449152542373	3026368	0.51	2832	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.17	99.09	1.64	Neural Network (Specific Model)	11	0.882	48380	304.88853503184714	2273654	0.52	2198	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.18	99.99	0.41	Neural Network (Specific Model)	11	0.87	53660	349.7244938467646	3034147	0.68	2519	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.19	99.89	1.51	Neural Network (Specific Model)	11	0.872	42137	289.05316321105795	1868740	0.39	1881	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.2	78.76	2.6	Neural Network (Specific Model)	11	0.877	8383	265.9201732673268	1466457	0.4	1616	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.20	99.91	0.24	Neural Network (Specific Model)	11	0.899	52690	312.03729281767954	2257498	0.36	2172	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.21	96.05	1.56	Neural Network (Specific Model)	11	0.904	31168	297.3456584960532	2371928	0.37	2407	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.22	94.32	0.75	Neural Network (Specific Model)	11	0.875	12242	332.87262569832404	2039169	0.53	1790	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.23	99.92	2.48	Neural Network (Specific Model)	11	0.868	46605	284.4221022019111	2362555	0.44	2407	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.24	98.99	0.12	Neural Network (Specific Model)	11	0.868	44313	323.2467378410439	2822364	0.33	2529	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.25	99.67	0.55	Neural Network (Specific Model)	11	0.862	48999	316.1865008880995	3712446	0.34	3378	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.26	100.0	0.03	Neural Network (Specific Model)	11	0.874	2137433	304.67659990229606	2137433	0.41	2047	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.27	90.43	0.11	Neural Network (Specific Model)	11	0.922	59347	332.9169714703731	2958734	0.31	2734	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.28	99.99	0.61	Neural Network (Specific Model)	11	0.826	4109659	306.31026438569205	4286142	0.29	3858	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.3	99.99	0.12	Neural Network (Specific Model)	11	0.859	48623	310.1439528023599	1833095	0.42	1695	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.4	92.56	0.61	Neural Network (Specific Model)	11	0.885	48574	323.71037974683543	2165263	0.4	1975	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.5	99.85	0.16	Neural Network (Specific Model)	11	0.907	63644	343.0932131793861	4026126	0.34	3551	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.6	99.99	0.33	Neural Network (Specific Model)	11	0.86	2300990	297.30751913552456	2300990	0.38	2221	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.7	89.32	3.19	Neural Network (Specific Model)	11	0.825	15737	292.7664884135472	1789693	0.35	1683	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.8	75.57	1.59	Neural Network (Specific Model)	11	0.885	38699	306.72489082969435	1426894	0.38	1374	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_6_bin.9	99.87	0.56	Neural Network (Specific Model)	11	0.86	2248971	333.22136222910217	2248971	0.49	1938	None	HMP_sample_6	HMP	MetaWRAP
HMP_sample_7_bin.1	61.99	1.57	Neural Network (Specific Model)	11	0.879	17647	294.9486531986532	1194376	0.41	1188	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.10	100.0	4.85	Neural Network (Specific Model)	11	0.878	1769924	292.8010610079576	1881323	0.38	1885	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.11	99.94	4.87	Neural Network (Specific Model)	11	0.852	2767806	296.84121255864306	2891042	0.35	2771	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.12	100.0	0.07	Neural Network (Specific Model)	11	0.883	2167876	329.8466701084151	2167876	0.4	1937	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.13	100.0	0.0	Neural Network (Specific Model)	11	0.879	1914486	305.9389978213508	1914486	0.38	1836	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.14	93.9	2.67	Neural Network (Specific Model)	11	0.878	22479	287.4996415770609	1367638	0.38	1395	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.15	100.0	0.33	Neural Network (Specific Model)	11	0.881	2211480	303.9435370975268	2213589	0.36	2143	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.2	70.93	0.19	Neural Network (Specific Model)	11	0.884	19912	282.9806351665376	1236823	0.39	1291	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.3	99.99	0.33	Neural Network (Specific Model)	11	0.86	2300991	297.3214768122467	2300991	0.38	2221	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.4	100.0	3.67	Neural Network (Specific Model)	11	0.869	1950078	291.4183722037125	2108840	0.39	2101	None	HMP_sample_7	HMP	MetaWRAP
HMP_sample_7_bin.5	99.18	1.73	Neural Network (Specific Model)	11	0.854	18618	309.5847568988173	2480827	0.54	2283	None	HMP_sample_7	HMP	MetaWRAP
