BinID	Completeness	Contamination	Level	Method
bin.316	94.11	9.32	MQ	Init
bin.323	85.36	0.0	MQ	Init
bin.324	73.13	2.79	MQ	Init
bin.328	84.6	0.99	MQ	Init
bin.331	64.99	3.52	MQ	Init
bin.332	98.21	9.25	MQ	Init
bin.333	87.86	2.64	MQ	Init
bin.339	85.38	0.25	MQ	Init
bin.340	86.66	0.89	MQ	Init
bin.343	50.2	1.54	MQ	Init
bin.347	55.96	2.02	MQ	Init
bin.348	66.82	0.96	MQ	Init
bin.349	87.17	0.05	MQ	Init
bin.350	86.98	2.36	MQ	Init
bin.353	84.98	1.92	MQ	Init
bin.354	89.38	6.0	MQ	Init
bin.357	80.19	0.16	MQ	Init
bin.359	80.09	1.46	MQ	Init
bin.364	85.76	0.58	MQ	Init
