BinID	Completeness	Contamination	Stage
bin.198	93.54	98.09	ReAss
bin.200	85.53	1.4	Init
bin.200	96.66	40.56	ReAss
bin.200	53.02	4.79	ReBin
bin.200	53.02	4.79	ReFine
bin.206	83.48	0.11	Init
bin.206	94.53	3.7	ReAss
bin.208	70.84	0.77	Init
bin.208	86.89	3.49	ReAss
bin.208	86.73	0.31	ReBin
bin.212	88.12	0.42	Init
bin.212	99.23	2.02	ReAss
bin.219	82.48	3.69	Init
bin.219	96.09	76.76	ReAss
bin.222	78.59	0.75	Init
bin.222	94.02	46.63	ReAss
bin.222	52.06	7.42	ReBin
bin.222	52.27	4.28	ReFine
bin.225	85.34	0.06	Init
bin.225	99.87	1.61	ReAss
bin.226	84.72	0.21	Init
bin.227	86.51	3.6	Init
bin.232	87.11	0.76	Init
bin.232	98.56	81.09	ReAss
bin.235	86.95	3.23	Init
bin.235	91.12	2.39	ReAss
bin.240	85.77	0.48	Init
bin.246	77.98	1.05	Init
bin.248	82.93	1.96	Init
bin.248	82.59	0.89	ReAss
bin.248	85.25	0.26	ReBin
bin.249	89.63	1.77	Init
bin.249	94.76	53.17	ReAss
bin.249	53.62	11.33	ReBin
bin.249	53.62	11.33	ReFine
bin.254	79.56	4.33	Init
bin.254	91.09	5.32	ReAss
bin.254	92.2	3.96	ReBin
bin.258	87.65	0.46	Init
bin.258	86.61	0.47	ReAss
bin.258	68.05	0.55	ReBin
bin.258	67.93	0.49	ReFine
bin.260	74.91	4.78	Init
bin.260	91.27	41.36	ReAss
bin.263	80.97	2.52	Init
bin.263	90.99	48.21	ReAss
bin.263	94.86	11.39	ReBin
bin.263	91.06	0.28	ReFine
bin.265	77.83	0.66	Init
bin.265	90.27	21.28	ReAss
bin.268	85.12	3.66	Init
bin.268	99.18	11.75	ReAss
bin.268	99.26	0.16	ReBin
bin.271	87.43	2.2	Init
bin.271	89.04	2.2	ReAss
bin.271	89.33	0.74	ReBin
bin.272	57.77	0.5	Init
bin.272	74.61	1.48	ReAss
bin.272	75.07	1.61	ReBin
bin.272	74.96	0.56	ReFine
bin.274	88.2	1.95	Init
bin.274	96.53	63.06	ReAss
bin.276	58.6	2.24	Init
bin.276	63.16	12.96	ReAss
bin.284	84.35	2.5	Init
bin.284	88.22	0.88	ReAss
bin.284	86.82	0.37	ReBin
bin.285	75.58	4.22	Init
bin.285	55.48	29.19	ReAss
bin.286	75.15	3.49	Init
bin.286	100.0	12.94	ReAss
bin.286	99.69	0.17	ReBin
bin.287	88.14	5.52	Init
bin.287	89.61	59.34	ReAss
bin.287	97.65	1.54	ReBin
bin.289	87.81	0.38	Init
bin.289	96.31	11.56	ReAss
bin.290	88.49	2.24	Init
bin.290	100.0	25.93	ReAss
bin.290	89.85	5.82	ReBin
bin.290	73.21	0.36	ReFine
bin.293	91.22	5.59	Init
bin.293	87.33	52.17	ReAss
bin.293	25.04	2.91	ReBin
bin.294	89.39	0.06	Init
bin.294	97.92	56.21	ReAss
bin.297	89.53	0.79	Init
bin.297	99.51	38.15	ReAss
bin.297	83.42	0.05	ReBin
bin.297	83.62	0.06	ReFine
bin.298	80.19	6.96	Init
bin.298	78.44	13.03	ReAss
bin.299	76.75	5.31	Init
bin.299	75.19	11.2	ReAss
bin.302	75.44	1.21	Init
bin.302	100.0	1.45	ReAss
bin.304	89.16	4.37	Init
bin.304	95.14	53.95	ReAss
bin.304	45.57	0.19	ReBin
bin.305	73.57	0.29	Init
bin.308	86.96	1.92	Init
bin.308	94.36	78.23	ReAss
bin.308	58.19	0.73	ReBin
bin.308	58.19	0.73	ReFine
bin.310	96.92	6.5	Init
bin.310	92.61	85.71	ReAss
bin.311	76.74	1.48	Init
bin.316	94.11	9.32	Init
bin.316	88.91	80.56	ReAss
bin.316	80.99	2.8	ReBin
bin.316	80.99	2.8	ReFine
bin.323	85.36	0.0	Init
bin.323	87.41	7.49	ReAss
bin.324	73.13	2.79	Init
bin.324	82.4	2.1	ReAss
bin.324	83.26	2.06	ReBin
bin.328	84.6	0.99	Init
bin.328	93.33	14.09	ReAss
bin.328	96.81	1.54	ReBin
bin.328	96.28	1.5	ReFine
bin.331	64.99	3.52	Init
bin.332	98.21	9.25	Init
bin.332	100.0	65.22	ReAss
bin.332	98.45	8.73	ReBin
bin.333	87.86	2.64	Init
bin.333	94.0	1.84	ReAss
bin.339	85.38	0.25	Init
bin.339	99.05	74.72	ReAss
bin.339	82.3	2.67	ReBin
bin.339	82.45	1.6	ReFine
bin.340	86.66	0.89	Init
bin.340	100.0	57.71	ReAss
bin.340	24.48	0.01	ReBin
bin.343	50.2	1.54	Init
bin.343	99.37	49.53	ReAss
bin.343	88.19	1.2	ReBin
bin.347	55.96	2.02	Init
bin.347	94.08	84.06	ReAss
bin.347	77.07	1.62	ReBin
bin.348	66.82	0.96	Init
bin.348	99.35	7.82	ReAss
bin.348	89.09	2.61	ReBin
bin.348	89.02	2.59	ReFine
bin.349	87.17	0.05	Init
bin.349	97.04	1.02	ReAss
bin.350	86.98	2.36	Init
bin.350	84.38	50.88	ReAss
bin.350	32.93	0.1	ReBin
bin.353	84.98	1.92	Init
bin.353	93.22	2.18	ReAss
bin.354	89.38	6.0	Init
bin.357	80.19	0.16	Init
bin.359	80.09	1.46	Init
bin.359	98.92	0.41	ReAss
bin.364	85.76	0.58	Init
bin.364	85.75	64.2	ReAss
bin.364	58.61	1.29	ReBin
bin.364	57.4	0.19	ReFine
