BinID	Completeness	Contamination	Stage
bin.274	92.12	0.16	ReFine
bin.276	58.6	2.24	Init
bin.276	58.26	4.08	ReAss
bin.284	84.35	2.5	Init
bin.284	88.22	0.88	ReAss
bin.284	86.82	0.37	ReBin
bin.285	75.58	4.22	Init
bin.285	73.27	2.52	ReAss
bin.285	65.19	1.49	ReBin
bin.285	64.02	0.57	ReFine
bin.286	75.15	3.49	Init
bin.286	87.96	6.78	ReAss
bin.286	87.58	4.66	ReBin
bin.286	87.06	2.66	ReFine
bin.287	88.14	5.52	Init
bin.287	100.0	38.47	ReAss
bin.287	97.96	3.11	ReBin
bin.289	87.81	0.38	Init
bin.289	96.77	4.4	ReAss
bin.290	88.49	2.24	Init
bin.290	97.8	7.44	ReAss
bin.290	99.99	2.38	ReBin
bin.290	99.99	2.38	ReFine
bin.293	91.22	5.59	Init
bin.293	89.72	5.57	ReAss
bin.293	84.56	0.62	ReBin
bin.293	84.51	0.26	ReFine
bin.294	89.39	0.06	Init
bin.294	97.75	21.55	ReAss
bin.294	96.77	1.46	ReBin
bin.294	91.76	0.03	ReFine
bin.297	89.53	0.79	Init
bin.297	99.94	2.23	ReAss
bin.298	80.19	6.96	Init
bin.298	79.26	10.46	ReAss
bin.298	75.6	8.4	ReBin
bin.298	75.9	8.4	ReFine
bin.299	76.75	5.31	Init
bin.299	91.59	13.58	ReAss
bin.299	84.51	4.0	ReBin
bin.302	75.44	1.21	Init
bin.302	85.7	1.65	ReAss
bin.302	87.72	1.65	ReBin
bin.302	87.74	0.79	ReFine
bin.304	89.16	4.37	Init
bin.304	97.48	25.6	ReAss
bin.304	89.71	0.83	ReBin
bin.305	73.57	0.29	Init
bin.305	97.93	14.31	ReAss
bin.305	99.93	3.05	ReBin
bin.305	99.83	1.02	ReFine
bin.308	86.96	1.92	Init
bin.308	100.0	49.69	ReAss
bin.308	93.01	2.94	ReBin
bin.308	91.28	1.64	ReFine
bin.310	96.92	6.5	Init
bin.310	92.94	48.2	ReAss
bin.310	86.87	2.61	ReBin
bin.310	83.34	0.17	ReFine
bin.311	76.74	1.48	Init
bin.311	100.0	22.37	ReAss
bin.311	92.3	2.14	ReBin
bin.311	92.3	2.14	ReFine
bin.316	94.11	9.32	Init
bin.316	97.16	15.91	ReAss
bin.316	94.31	4.46	ReBin
bin.323	85.36	0.0	Init
bin.323	94.21	2.03	ReAss
bin.324	73.13	2.79	Init
bin.324	82.4	2.1	ReAss
bin.324	83.26	2.06	ReBin
bin.328	84.6	0.99	Init
bin.328	90.51	0.12	ReAss
bin.331	64.99	3.52	Init
bin.331	98.14	70.15	ReAss
bin.331	67.43	2.75	ReBin
bin.332	98.21	9.25	Init
bin.332	99.17	18.28	ReAss
bin.332	98.28	5.64	ReBin
bin.333	87.86	2.64	Init
bin.333	91.17	2.37	ReAss
bin.339	85.38	0.25	Init
bin.339	100.0	20.34	ReAss
bin.339	99.94	0.32	ReBin
bin.339	99.75	0.16	ReFine
bin.340	86.66	0.89	Init
bin.340	100.0	36.45	ReAss
bin.340	98.59	2.11	ReBin
bin.340	98.59	2.11	ReFine
bin.343	50.2	1.54	Init
bin.343	73.53	9.06	ReAss
bin.347	55.96	2.02	Init
bin.347	67.19	8.62	ReAss
bin.347	60.7	2.53	ReBin
bin.347	60.7	2.53	ReFine
bin.348	66.82	0.96	Init
bin.348	68.01	3.25	ReAss
bin.348	58.97	1.8	ReBin
bin.348	58.72	1.75	ReFine
bin.349	87.17	0.05	Init
bin.349	96.74	0.59	ReAss
bin.350	86.98	2.36	Init
bin.350	96.54	22.57	ReAss
bin.350	34.64	0.26	ReBin
bin.353	84.98	1.92	Init
bin.353	92.02	1.29	ReAss
bin.354	89.38	6.0	Init
bin.354	96.0	28.96	ReAss
bin.357	80.19	0.16	Init
bin.357	97.72	6.33	ReAss
bin.357	97.65	0.06	ReBin
bin.359	80.09	1.46	Init
bin.359	87.77	1.37	ReAss
bin.359	82.91	1.2	ReBin
bin.364	85.76	0.58	Init
bin.364	88.79	59.3	ReAss
