binner	BinScore	avg_counts	dataset
binny_maxbin_metabat_comebin_concoct_metabinner	>0.7	8.36842105263158	airskin
binny_maxbin_metabat_comebin_concoct_metabinner	>0.8	10.15	airskin
binny_maxbin_metabat_comebin_concoct_metabinner	>0.9	94.8	airskin
binny_maxbin_metabat_comebin_concoct_metabinner	>=0.5	9.3	airskin
binny_maxbin_metabat_comebin_concoct_semibin2	<0.5	148.5	airskin
binny_maxbin_metabat_comebin_concoct_semibin2	>0.6	9.73684210526316	airskin
binny_maxbin_metabat_comebin_concoct_semibin2	>0.7	8.9	airskin
binny_maxbin_metabat_comebin_concoct_semibin2	>0.8	10.9	airskin
binny_maxbin_metabat_comebin_concoct_semibin2	>0.9	91	airskin
binny_maxbin_metabat_comebin_concoct_semibin2	>=0.5	10.6	airskin
binny_maxbin_metabat_comebin_concoct_semibin2_metabinner	<0.5	156.9	airskin
binny_maxbin_metabat_comebin_concoct_semibin2_metabinner	>0.6	11.2105263157895	airskin
binny_maxbin_metabat_comebin_concoct_semibin2_metabinner	>0.7	10.45	airskin
binny_maxbin_metabat_comebin_concoct_semibin2_metabinner	>0.8	13.45	airskin
binny_maxbin_metabat_comebin_concoct_semibin2_metabinner	>0.9	112.4	airskin
binny_maxbin_metabat_comebin_concoct_semibin2_metabinner	>=0.5	12.05	airskin
binny_maxbin_metabat_comebin_metabinner	<0.5	99.75	airskin
binny_maxbin_metabat_comebin_metabinner	>0.6	7.15789473684211	airskin
binny_maxbin_metabat_comebin_metabinner	>0.7	7.57894736842105	airskin
binny_maxbin_metabat_comebin_metabinner	>0.8	9.25	airskin
binny_maxbin_metabat_comebin_metabinner	>0.9	87.15	airskin
binny_maxbin_metabat_comebin_metabinner	>=0.5	7.85	airskin
binny_maxbin_metabat_comebin_semibin2	<0.5	127.35	airskin
binny_maxbin_metabat_comebin_semibin2	>0.6	8.68421052631579	airskin
binny_maxbin_metabat_comebin_semibin2	>0.7	8.15	airskin
binny_maxbin_metabat_comebin_semibin2	>0.8	10	airskin
binny_maxbin_metabat_comebin_semibin2	>0.9	83.35	airskin
binny_maxbin_metabat_comebin_semibin2	>=0.5	9.15	airskin
binny_maxbin_metabat_comebin_semibin2_metabinner	<0.5	135.75	airskin
binny_maxbin_metabat_comebin_semibin2_metabinner	>0.6	10.1578947368421	airskin
binny_maxbin_metabat_comebin_semibin2_metabinner	>0.7	9.7	airskin
binny_maxbin_metabat_comebin_semibin2_metabinner	>0.8	12.55	airskin
binny_maxbin_metabat_comebin_semibin2_metabinner	>0.9	104.75	airskin
binny_maxbin_metabat_comebin_semibin2_metabinner	>=0.5	10.6	airskin
binny_maxbin_metabat_concoct	<0.5	68.25	airskin
binny_maxbin_metabat_concoct	>0.6	4.76470588235294	airskin
binny_maxbin_metabat_concoct	>0.7	4.55555555555556	airskin
binny_maxbin_metabat_concoct	>0.8	5.55555555555556	airskin
binny_maxbin_metabat_concoct	>0.9	49.2	airskin
binny_maxbin_metabat_concoct	>=0.5	5.27777777777778	airskin
binny_maxbin_metabat_concoct_metabinner	<0.5	76.65	airskin
binny_maxbin_metabat_concoct_metabinner	>0.6	6.05555555555556	airskin
binny_maxbin_metabat_concoct_metabinner	>0.7	5.94736842105263	airskin
binny_maxbin_metabat_concoct_metabinner	>0.8	7.55	airskin
binny_maxbin_metabat_concoct_metabinner	>0.9	70.6	airskin
binny_maxbin_metabat_concoct_metabinner	>=0.5	6.88888888888889	airskin
binny_maxbin_metabat_concoct_semibin2	<0.5	104.25	airskin
binny_maxbin_metabat_concoct_semibin2	>0.6	7.26315789473684	airskin
binny_maxbin_metabat_concoct_semibin2	>0.7	6.6	airskin
binny_maxbin_metabat_concoct_semibin2	>0.8	8.73684210526316	airskin
binny_maxbin_metabat_concoct_semibin2	>0.9	66.8	airskin
binny_maxbin_metabat_concoct_semibin2	>=0.5	7.89473684210526	airskin
binny_maxbin_metabat_concoct_semibin2_metabinner	<0.5	112.65	airskin
binny_maxbin_metabat_concoct_semibin2_metabinner	>0.6	8.73684210526316	airskin
binny_maxbin_metabat_concoct_semibin2_metabinner	>0.7	8.15	airskin
binny_maxbin_metabat_concoct_semibin2_metabinner	>0.8	10.85	airskin
binny_maxbin_metabat_concoct_semibin2_metabinner	>0.9	88.2	airskin
binny_maxbin_metabat_concoct_semibin2_metabinner	>=0.5	9.42105263157895	airskin
binny_maxbin_metabat_metabinner	<0.5	55.5	airskin
binny_maxbin_metabat_metabinner	>0.6	4.94444444444444	airskin
binny_maxbin_metabat_metabinner	>0.7	5.15789473684211	airskin
binny_maxbin_metabat_metabinner	>0.8	6.65	airskin
binny_maxbin_metabat_metabinner	>0.9	62.95	airskin
binny_maxbin_metabat_metabinner	>=0.5	5.27777777777778	airskin
binny_maxbin_metabat_semibin2	<0.5	83.1	airskin
binny_maxbin_metabat_semibin2	>0.6	6.21052631578947	airskin
binny_maxbin_metabat_semibin2	>0.7	5.85	airskin
binny_maxbin_metabat_semibin2	>0.8	7.78947368421053	airskin
binny_maxbin_metabat_semibin2	>0.9	59.15	airskin
binny_maxbin_metabat_semibin2	>=0.5	6.36842105263158	airskin
binny_maxbin_metabat_semibin2_metabinner	<0.5	91.5	airskin
binny_maxbin_metabat_semibin2_metabinner	>0.6	7.68421052631579	airskin
binny_maxbin_metabat_semibin2_metabinner	>0.7	7.4	airskin
binny_maxbin_metabat_semibin2_metabinner	>0.8	9.95	airskin
binny_maxbin_metabat_semibin2_metabinner	>0.9	80.55	airskin
binny_maxbin_metabat_semibin2_metabinner	>=0.5	7.89473684210526	airskin
binny_maxbin_metabinner	<0.5	36.8	airskin
binny_maxbin_metabinner	>0.6	4.47058823529412	airskin
binny_maxbin_metabinner	>0.7	4.33333333333333	airskin
binny_maxbin_metabinner	>0.8	5.7	airskin
binny_maxbin_metabinner	>0.9	54.25	airskin
binny_maxbin_metabinner	>=0.5	4.29411764705882	airskin
binny_maxbin_semibin2	<0.5	64.4	airskin
binny_maxbin_semibin2	>0.6	5.52631578947368	airskin
binny_maxbin_semibin2	>0.7	5.10526315789474	airskin
binny_maxbin_semibin2	>0.8	6.78947368421053	airskin
binny_maxbin_semibin2	>0.9	50.45	airskin
binny_maxbin_semibin2	>=0.5	5.5	airskin
binny_maxbin_semibin2_metabinner	<0.5	72.8	airskin
binny_maxbin_semibin2_metabinner	>0.6	7	airskin
binny_maxbin_semibin2_metabinner	>0.7	6.73684210526316	airskin
binny_maxbin_semibin2_metabinner	>0.8	9	airskin
binny_maxbin_semibin2_metabinner	>0.9	71.85	airskin
binny_maxbin_semibin2_metabinner	>=0.5	7.11111111111111	airskin
binny_metabat	<0.5	21.95	airskin
binny_metabat	>0.6	2.53333333333333	airskin
binny_metabat	>0.7	2.55555555555556	airskin
binny_metabat	>0.8	3.17647058823529	airskin
binny_metabat	>0.9	33.45	airskin
binny_metabat	>=0.5	2.85714285714286	airskin
binny_metabat_comebin	<0.5	66.2	airskin
binny_metabat_comebin	>0.6	5	airskin
binny_metabat_comebin	>0.7	5.11111111111111	airskin
binny_metabat_comebin	>0.8	5.57894736842105	airskin
binny_metabat_comebin	>0.9	57.65	airskin
binny_metabat_comebin	>=0.5	5.1	airskin
binny_metabat_comebin_concoct	<0.5	87.35	airskin
binny_metabat_comebin_concoct	>0.6	5.83333333333333	airskin
binny_metabat_comebin_concoct	>0.7	5.94444444444444	airskin
binny_metabat_comebin_concoct	>0.8	6.2	airskin
binny_metabat_comebin_concoct	>0.9	65.3	airskin
binny_metabat_comebin_concoct	>=0.5	6.55	airskin
binny_metabat_comebin_concoct_metabinner	<0.5	95.75	airskin
binny_metabat_comebin_concoct_metabinner	>0.6	7.38888888888889	airskin
binny_metabat_comebin_concoct_metabinner	>0.7	7.26315789473684	airskin
binny_metabat_comebin_concoct_metabinner	>0.8	8.75	airskin
binny_metabat_comebin_concoct_metabinner	>0.9	86.7	airskin
binny_metabat_comebin_concoct_metabinner	>=0.5	8	airskin
binny_metabat_comebin_concoct_semibin2	<0.5	123.35	airskin
binny_metabat_comebin_concoct_semibin2	>0.6	8.52631578947368	airskin
binny_metabat_comebin_concoct_semibin2	>0.7	7.85	airskin
binny_metabat_comebin_concoct_semibin2	>0.8	9.5	airskin
binny_metabat_comebin_concoct_semibin2	>0.9	82.9	airskin
binny_metabat_comebin_concoct_semibin2	>=0.5	9.3	airskin
binny_metabat_comebin_concoct_semibin2_metabinner	<0.5	131.75	airskin
binny_metabat_comebin_concoct_semibin2_metabinner	>0.6	10	airskin
binny_metabat_comebin_concoct_semibin2_metabinner	>0.7	9.4	airskin
binny_metabat_comebin_concoct_semibin2_metabinner	>0.8	12.05	airskin
binny_metabat_comebin_concoct_semibin2_metabinner	>0.9	104.3	airskin
binny_metabat_comebin_concoct_semibin2_metabinner	>=0.5	10.75	airskin
binny_metabat_comebin_metabinner	<0.5	74.6	airskin
binny_metabat_comebin_metabinner	>0.6	6.64705882352941	airskin
binny_metabat_comebin_metabinner	>0.7	6.47368421052632	airskin
binny_metabat_comebin_metabinner	>0.8	7.85	airskin
binny_metabat_comebin_metabinner	>0.9	79.05	airskin
binny_metabat_comebin_metabinner	>=0.5	6.55	airskin
binny_metabat_comebin_semibin2	<0.5	102.2	airskin
binny_metabat_comebin_semibin2	>0.6	7.47368421052632	airskin
binny_metabat_comebin_semibin2	>0.7	7.1	airskin
binny_metabat_comebin_semibin2	>0.8	8.6	airskin
binny_metabat_comebin_semibin2	>0.9	75.25	airskin
binny_metabat_comebin_semibin2	>=0.5	7.85	airskin
binny_metabat_comebin_semibin2_metabinner	<0.5	110.6	airskin
binny_metabat_comebin_semibin2_metabinner	>0.6	8.94736842105263	airskin
binny_metabat_comebin_semibin2_metabinner	>0.7	8.65	airskin
binny_metabat_comebin_semibin2_metabinner	>0.8	11.15	airskin
binny_metabat_comebin_semibin2_metabinner	>0.9	96.65	airskin
binny_metabat_comebin_semibin2_metabinner	>=0.5	9.3	airskin
binny_metabat_concoct	<0.5	43.1	airskin
binny_metabat_concoct	>0.6	3.625	airskin
binny_metabat_concoct	>0.7	3.38888888888889	airskin
binny_metabat_concoct	>0.8	4	airskin
binny_metabat_concoct	>0.9	41.1	airskin
binny_metabat_concoct	>=0.5	4.3125	airskin
binny_metabat_concoct_metabinner	<0.5	51.5	airskin
binny_metabat_concoct_metabinner	>0.6	5.05882352941176	airskin
binny_metabat_concoct_metabinner	>0.7	4.84210526315789	airskin
binny_metabat_concoct_metabinner	>0.8	6.15	airskin
binny_metabat_concoct_metabinner	>0.9	62.5	airskin
binny_metabat_concoct_metabinner	>=0.5	5.76470588235294	airskin
binny_metabat_concoct_semibin2	<0.5	79.1	airskin
binny_metabat_concoct_semibin2	>0.6	6.05263157894737	airskin
binny_metabat_concoct_semibin2	>0.7	5.55	airskin
binny_metabat_concoct_semibin2	>0.8	7.26315789473684	airskin
binny_metabat_concoct_semibin2	>0.9	58.7	airskin
binny_metabat_concoct_semibin2	>=0.5	6.52631578947368	airskin
binny_metabat_concoct_semibin2_metabinner	<0.5	87.5	airskin
binny_metabat_concoct_semibin2_metabinner	>0.6	7.52631578947368	airskin
binny_metabat_concoct_semibin2_metabinner	>0.7	7.1	airskin
binny_metabat_concoct_semibin2_metabinner	>0.8	9.45	airskin
binny_metabat_concoct_semibin2_metabinner	>0.9	80.1	airskin
binny_metabat_concoct_semibin2_metabinner	>=0.5	8.05263157894737	airskin
binny_metabat_metabinner	<0.5	30.35	airskin
binny_metabat_metabinner	>0.6	4.125	airskin
binny_metabat_metabinner	>0.7	4.05263157894737	airskin
binny_metabat_metabinner	>0.8	5.25	airskin
binny_metabat_metabinner	>0.9	54.85	airskin
binny_metabat_metabinner	>=0.5	4.3125	airskin
binny_metabat_semibin2	<0.5	57.95	airskin
binny_metabat_semibin2	>0.6	5	airskin
binny_metabat_semibin2	>0.7	4.8	airskin
binny_metabat_semibin2	>0.8	6.31578947368421	airskin
binny_metabat_semibin2	>0.9	51.05	airskin
binny_metabat_semibin2	>=0.5	5	airskin
binny_metabat_semibin2_metabinner	<0.5	66.35	airskin
binny_metabat_semibin2_metabinner	>0.6	6.47368421052632	airskin
binny_metabat_semibin2_metabinner	>0.7	6.35	airskin
binny_metabat_semibin2_metabinner	>0.8	8.55	airskin
binny_metabat_semibin2_metabinner	>0.9	72.45	airskin
binny_metabat_semibin2_metabinner	>=0.5	6.52631578947368	airskin
binny_metabinner	<0.5	11.65	airskin
binny_metabinner	>0.6	3.78571428571429	airskin
binny_metabinner	>0.7	3.16666666666667	airskin
binny_metabinner	>0.8	4.3	airskin
binny_metabinner	>0.9	46.15	airskin
binny_metabinner	>=0.5	3.35714285714286	airskin
binny_semibin2	<0.5	39.25	airskin
binny_semibin2	>0.6	4.31578947368421	airskin
binny_semibin2	>0.7	4	airskin
binny_semibin2	>0.8	5.31578947368421	airskin
binny_semibin2	>0.9	42.35	airskin
binny_semibin2	>=0.5	4.29411764705882	airskin
binny_semibin2_metabinner	<0.5	47.65	airskin
binny_semibin2_metabinner	>0.6	5.78947368421053	airskin
binny_semibin2_metabinner	>0.7	5.63157894736842	airskin
binny_semibin2_metabinner	>0.8	7.6	airskin
binny_semibin2_metabinner	>0.9	63.75	airskin
binny_semibin2_metabinner	>=0.5	6	airskin
comebin_concoct	<0.5	65.4	airskin
comebin_concoct	>0.6	3.72222222222222	airskin
comebin_concoct	>0.7	3.58823529411765	airskin
comebin_concoct	>0.8	3.5	airskin
comebin_concoct	>0.9	31.85	airskin
comebin_concoct	>=0.5	4.78947368421053	airskin
comebin_concoct_metabinner	<0.5	73.8	airskin
comebin_concoct_metabinner	>0.6	5.27777777777778	airskin
comebin_concoct_metabinner	>0.7	4.84210526315789	airskin
comebin_concoct_metabinner	>0.8	6.05	airskin
comebin_concoct_metabinner	>0.9	53.25	airskin
comebin_concoct_metabinner	>=0.5	6.31578947368421	airskin
comebin_concoct_semibin2	<0.5	101.4	airskin
comebin_concoct_semibin2	>0.6	6.52631578947368	airskin
comebin_concoct_semibin2	>0.7	5.55	airskin
comebin_concoct_semibin2	>0.8	6.8	airskin
comebin_concoct_semibin2	>0.9	49.45	airskin
comebin_concoct_semibin2	>=0.5	7.68421052631579	airskin
comebin_concoct_semibin2_metabinner	<0.5	109.8	airskin
comebin_concoct_semibin2_metabinner	>0.6	8	airskin
comebin_concoct_semibin2_metabinner	>0.7	7.1	airskin
comebin_concoct_semibin2_metabinner	>0.8	9.35	airskin
comebin_concoct_semibin2_metabinner	>0.9	70.85	airskin
comebin_concoct_semibin2_metabinner	>=0.5	9.21052631578947	airskin
comebin_metabinner	<0.5	52.65	airskin
comebin_metabinner	>0.6	4.6875	airskin
comebin_metabinner	>0.7	4.05263157894737	airskin
comebin_metabinner	>0.8	5.15	airskin
comebin_metabinner	>0.9	45.6	airskin
comebin_metabinner	>=0.5	5.05555555555556	airskin
comebin_semibin2	<0.5	80.25	airskin
comebin_semibin2	>0.6	5.47368421052632	airskin
comebin_semibin2	>0.7	4.8	airskin
comebin_semibin2	>0.8	5.9	airskin
comebin_semibin2	>0.9	41.8	airskin
comebin_semibin2	>=0.5	6.5	airskin
comebin_semibin2_metabinner	<0.5	88.65	airskin
comebin_semibin2_metabinner	>0.6	6.94736842105263	airskin
comebin_semibin2_metabinner	>0.7	6.35	airskin
comebin_semibin2_metabinner	>0.8	8.45	airskin
comebin_semibin2_metabinner	>0.9	63.2	airskin
comebin_semibin2_metabinner	>=0.5	8.11111111111111	airskin
concoct_metabinner	<0.5	29.55	airskin
concoct_metabinner	>0.6	3.2	airskin
concoct_metabinner	>0.7	2.70588235294118	airskin
concoct_metabinner	>0.8	3.45	airskin
concoct_metabinner	>0.9	29.05	airskin
concoct_metabinner	>=0.5	3.625	airskin
concoct_semibin2	<0.5	57.15	airskin
concoct_semibin2	>0.6	4.05263157894737	airskin
concoct_semibin2	>0.7	3.42105263157895	airskin
concoct_semibin2	>0.8	4.66666666666667	airskin
concoct_semibin2	>0.9	25.25	airskin
concoct_semibin2	>=0.5	5.25	airskin
concoct_semibin2_metabinner	<0.5	65.55	airskin
concoct_semibin2_metabinner	>0.6	5.52631578947368	airskin
concoct_semibin2_metabinner	>0.7	5.05263157894737	airskin
concoct_semibin2_metabinner	>0.8	6.75	airskin
concoct_semibin2_metabinner	>0.9	46.65	airskin
concoct_semibin2_metabinner	>=0.5	6.27777777777778	airskin
maxbin_comebin	<0.5	69.4	airskin
maxbin_comebin	>0.6	3.68421052631579	airskin
maxbin_comebin	>0.7	3.94117647058824	airskin
maxbin_comebin	>0.8	4	airskin
maxbin_comebin	>0.9	32.3	airskin
maxbin_comebin	>=0.5	4.63157894736842	airskin
maxbin_comebin_concoct	<0.5	90.55	airskin
maxbin_comebin_concoct	>0.6	4.73684210526316	airskin
maxbin_comebin_concoct	>0.7	4.82352941176471	airskin
maxbin_comebin_concoct	>0.8	4.9	airskin
maxbin_comebin_concoct	>0.9	39.95	airskin
maxbin_comebin_concoct	>=0.5	6.15789473684211	airskin
maxbin_comebin_concoct_metabinner	<0.5	98.95	airskin
maxbin_comebin_concoct_metabinner	>0.6	6.21052631578947	airskin
maxbin_comebin_concoct_metabinner	>0.7	5.94736842105263	airskin
maxbin_comebin_concoct_metabinner	>0.8	7.45	airskin
maxbin_comebin_concoct_metabinner	>0.9	61.35	airskin
maxbin_comebin_concoct_metabinner	>=0.5	7.68421052631579	airskin
maxbin_comebin_concoct_semibin2	<0.5	126.55	airskin
maxbin_comebin_concoct_semibin2	>0.6	7.73684210526316	airskin
