SampleID	TotalContingLength	TotalContigCount	AvgContingLength	AvgGC
mg_sample_19	1484006618	156843	9461.733185414714	44.089808420450694
mg_sample_1	1575801907	166713	9452.183734921691	44.17803194791131
mg_sample_20	1705421836	181492	9396.677737861724	44.31011572198179
mg_sample_21	1791618495	190763	9391.855312613034	44.305432316622095
mg_sample_22	2006101681	212975	9419.423317290762	44.37372304390723
mg_sample_2	2089716042	220854	9461.979597381076	44.38449788574978
mg_sample_5	2225747860	236200	9423.149280270956	44.53077219247221
mg_sample_6	2380000589	253476	9389.451423408922	44.689243670544
mg_sample_7	2476884412	264439	9366.562466202035	44.71627516748633
mg_sample_8	2542356040	270928	9383.880735841256	44.83363437950094
mg_sample_9	2643543906	281863	9378.825550001242	44.941296479629905
p_sample_0	214272515	21581	9928.757471850238	65.28629515772484
p_sample_10	369957391	36249	10206.002675935888	64.05390934769046
p_sample_11	518674245	49070	10570.088546973711	63.153927588902704
p_sample_12	680014125	60510	11238.045364402578	63.59789726445569
p_sample_13	861227542	73687	11687.645609130512	63.652396066259804
p_sample_14	996422434	83998	11862.454272720779	63.648955962627994
p_sample_15	1161969976	99077	11727.948726747883	63.682899341482866
p_sample_16	1344213172	113379	11855.927217562335	63.57740428045487
p_sample_17	1527927457	125257	12198.339869228865	63.28800255295846
p_sample_18	1715139589	141260	12141.721570154325	63.39679891484856
p_sample_19	1889589680	155583	12145.219464851558	63.58277265087228
p_sample_1	2067756067	169415	12205.27147537113	63.66860577450424
p_sample_2	2259087216	186539	12110.53568422689	63.80965931749851
p_sample_3	2448624663	200412	12217.954329082091	63.87303842560766
p_sample_4	2630122690	217029	12118.761501919098	63.91147847829004
p_sample_5	2808160675	238710	11763.900444053454	63.849058032488784
p_sample_6	2984780403	251481	11868.810776957305	63.80354563426801
p_sample_7	3165519257	267926	11814.901342161642	63.780383692440424
p_sample_8	3310437203	278609	11882.018179599367	63.789484894226895
p_sample_9	3470994395	290712	11939.632333718595	63.75413119645614
s_sample_10	145044538	19968	7263.84905849359	46.66758846406437
s_sample_11	287117102	37577	7640.767011735902	46.83066357411574
s_sample_12	407912365	56184	7260.294122881959	46.937884563059335
s_sample_13	554899770	78657	7054.677523933025	47.219542968520464
s_sample_14	679225529	95262	7130.0784048203905	47.31269840192124
s_sample_15	842461774	116995	7200.835710927818	47.42157966730363
s_sample_16	971207623	135823	7150.5387379162585	47.277712745950204
s_sample_17	1075413411	149698	7183.886297746129	47.122049941502
s_sample_18	1168041316	161738	7221.811299756396	47.035071617257834
s_sample_19	1256655559	172183	7298.371842748704	46.99757926436268
s_sample_20	1392910904	192382	7240.339033797341	46.93149562506699
s_sample_21	1453672215	199026	7303.9312200416025	46.94707811181569
s_sample_22	1579651172	216051	7311.473550226567	47.07299610581464
s_sample_23	1680463285	232759	7219.756421878424	47.20107574650581
s_sample_24	1777330318	243563	7297.209830721415	47.09703241230382
s_sample_25	1879720702	255792	7348.629753862513	47.16153740560839
s_sample_26	2003915733	273587	7324.601435740733	47.1863809074118
s_sample_27	2148144983	293522	7318.514397557934	47.268955283010605
s_sample_28	2217586371	301996	7343.098488059444	47.26238959018364
s_sample_29	2320843568	316280	7337.939699000885	47.25371733972835
